left_elbow,left_armpit,left_waist,left_knee,right_elbow,right_armpit,right_waist,right_knee,pose
171.8606983,172.6018985,68.85794129,169.1628336,163.4640654,166.7211172,70.54625035,171.2737909,downdog
158.7369476,174.0794039,77.62502239,176.4590764,159.6257566,173.3403269,78.75109252,177.8836197,downdog
165.684024,162.5712535,75.40473294,178.4068945,131.9337254,157.3836243,77.43263739,179.655828,downdog
167.542873,166.1382995,76.82961475,175.2122515,158.9277962,179.1508351,81.83092605,174.6376766,downdog
175.8972077,149.271136,68.42100159,163.1848441,164.2613261,145.1012315,83.05592155,165.4474388,downdog
160.9096089,175.690314,74.20388558,178.2459823,157.0452979,175.1821825,74.78202277,178.8161596,downdog
159.6657151,175.6332973,61.29662634,175.8505489,166.7364455,178.7694251,60.30342298,178.549627,downdog
164.6107713,178.2637237,60.25192948,174.7872432,160.4598658,178.2339947,63.36900293,164.9152304,downdog
161.465809,177.4295915,80.53450538,172.1227051,162.3636405,175.9719474,82.44540679,172.668764,downdog
163.7746581,178.3511873,68.24944826,178.8854958,154.8516216,153.4990078,74.20572848,172.0531511,downdog
169.0098312,169.1269714,61.04245014,172.5859673,161.675332,175.9498654,61.84905112,174.1745976,downdog
126.9955577,172.2173687,5.009983476,63.64703474,23.48940648,175.0244266,9.609210904,70.83164088,downdog
164.1467287,167.2304952,72.27674785,177.9672263,158.6846647,172.0990888,73.37746574,178.3492461,downdog
165.7516288,168.3533543,87.87293941,171.1257373,169.6539817,169.2222085,83.37225443,177.2679271,downdog
172.7452811,153.2136187,65.02475761,177.372748,175.4601389,156.6397432,69.04299963,179.5494367,downdog
168.8901214,167.8559639,81.1668842,174.897816,162.3475814,164.3193459,81.83912176,172.9509799,downdog
158.1392391,153.4532794,74.80544905,172.9311858,161.9023082,141.4940652,84.0834604,176.2547444,downdog
165.4519184,165.8614501,73.87835952,177.3898256,159.9308012,164.9792051,74.44032346,176.9408261,downdog
168.946452,179.2690309,80.78560276,176.7287704,167.1922567,175.7244785,79.36110682,172.1978415,downdog
159.7480648,141.6610094,94.31232628,146.0219453,171.726889,137.6328494,104.5946938,168.1496229,downdog
157.938921,167.2464671,74.32596412,178.927716,154.8359141,166.1978829,73.12422833,179.5263141,downdog
168.3262075,178.5616922,71.34656638,178.4027082,170.6799429,178.5166994,73.89620924,179.0992448,downdog
174.0550537,177.9326926,72.35173705,173.9756976,177.7294244,178.6641225,74.74482724,177.1660054,downdog
168.3736207,165.724178,62.67800285,175.7877126,164.0036308,162.8739375,64.75038588,179.0252339,downdog
160.3498374,137.7803061,96.42695177,169.2242134,161.9801661,142.2718875,99.11969559,175.9422145,downdog
171.2307465,177.2572102,70.88123847,175.017639,164.1145382,176.4002964,71.44345927,172.8905534,downdog
170.3044392,151.0040528,79.88054582,179.726146,178.9001562,154.8487645,78.13387956,177.9605443,downdog
164.314147,173.4251287,67.80292412,173.0499774,156.5049595,177.496146,71.96406276,176.6879269,downdog
160.4491106,163.1286145,87.0483736,172.585892,160.5587907,166.0813468,86.35481694,174.7710167,downdog
142.7914874,137.0867582,101.6917717,178.2246027,154.0796724,140.8464841,104.0383751,178.925791,downdog
173.0340942,176.9583873,75.87318733,179.9048783,163.1574413,176.6394127,76.98767301,177.5483598,downdog
149.7767996,177.8569563,65.90491238,176.3566308,153.7581822,177.9470121,65.03186334,178.0000137,downdog
146.2200316,127.6751241,18.7429044,98.13906741,20.29789929,25.81212856,83.78614739,166.8850273,downdog
161.0760801,165.4232478,78.5891884,178.8633357,152.689789,159.1197735,81.86131609,178.8572081,downdog
175.2526059,172.1540135,42.39475704,179.565567,163.6828173,165.4385013,59.76698039,171.280903,downdog
153.3833559,169.2111452,83.76222421,178.9595916,162.2235566,172.8368953,84.22994727,179.7006886,downdog
171.9136675,169.1122204,85.8077752,175.0330478,166.2728969,174.5868686,85.08779459,178.4694039,downdog
162.0527679,174.9454081,70.08820954,179.7455056,161.5198868,176.1177759,69.26389561,179.6965774,downdog
174.0179408,161.0621114,80.05939393,173.9779148,158.0243996,174.7267769,84.72654001,172.17792,downdog
8.176140503,6.996351711,73.70931276,176.8876797,175.5195495,157.6708958,103.5553849,176.2790263,downdog
179.4516767,141.9379127,100.8089167,169.5237197,178.5419003,143.5133566,102.5685769,173.0584691,downdog
176.599879,175.9500364,70.70389116,179.3307973,179.697946,175.4155033,72.49210657,178.9750631,downdog
163.3978285,171.0485082,53.40139321,172.0924479,158.6137169,174.0412161,47.13693577,167.0203193,downdog
145.3165897,173.1011274,73.17719556,176.3223991,155.8217901,170.7538686,69.79981649,173.4944132,downdog
148.0092869,165.0111718,74.18777896,177.5463588,144.7982125,158.2290735,72.73800923,172.6366287,downdog
155.596189,147.3984809,84.06709307,169.3839045,155.3241401,148.6587825,85.23954374,176.1419687,downdog
173.906797,172.8627961,76.05655963,178.7859395,160.9912016,175.1677752,77.97326788,178.8722862,downdog
153.1460629,177.8075772,68.52582744,172.9278267,151.510388,172.7495915,71.29230927,169.9010861,downdog
162.3076244,172.4026712,64.88222077,162.3818494,176.1877163,171.5401365,51.05387214,159.0351366,downdog
152.2192353,155.1516458,74.3654923,177.2562327,140.5620273,150.0251614,74.50135667,179.2082092,downdog
158.6247296,158.1945359,83.36980563,170.1671985,153.7961579,151.5889004,82.82950282,175.4712525,downdog
163.3838505,173.7967356,61.81387703,176.1459643,158.4042498,170.8960851,64.17531421,176.9133569,downdog
168.0250821,170.6709482,71.09808246,172.6211274,158.1107056,164.5677082,72.81431388,172.6407679,downdog
149.3252858,177.123329,68.69101586,176.3035966,149.6516634,171.7092352,71.92207541,170.7978497,downdog
176.4716489,170.2190724,78.01303782,173.6235818,178.9832924,169.3768776,79.19074896,169.5253605,downdog
161.5734666,175.9406334,73.73073271,178.0553761,157.1487768,175.281917,74.31722652,179.6878299,downdog
155.314121,175.8317201,70.98097753,178.5342312,154.4569314,171.9318557,73.87032273,179.8340561,downdog
175.5568081,166.9573693,66.7985297,178.9569668,173.0327555,172.0793541,65.95706443,177.1161148,downdog
161.5386164,169.2694727,58.32261725,140.7160731,157.9025824,164.5797537,61.06985963,141.102034,downdog
119.8449149,164.8938006,74.63371779,174.8834434,121.146781,157.786201,78.51056977,174.58068,downdog
156.2180253,151.689692,73.86257856,174.6786232,161.3570842,156.4429026,75.28749354,179.3657827,downdog
147.1854439,166.3399237,69.50663118,179.7672305,169.0841369,165.3189326,72.38506827,177.8868513,downdog
163.7102875,173.6287326,62.33199038,177.1560755,158.0116021,170.7953799,63.44260821,175.9502869,downdog
162.8621699,144.327327,82.22246266,172.7949507,163.2075786,137.8207591,87.38414504,171.2303015,downdog
1.966671562,134.2155434,90.60570488,174.7375294,159.0077512,130.5943091,87.81920914,174.8380731,downdog
169.3455309,162.8409826,75.53699424,173.505119,162.6258174,170.1347239,76.42480628,175.9817889,downdog
159.0039495,174.6728962,69.4738739,176.6353234,160.0104997,154.1055574,79.91202005,178.3585908,downdog
174.9529241,172.6264077,72.36770874,170.8499326,167.1686259,173.9979475,76.3927715,172.07425,downdog
167.3542796,178.2491858,68.5125864,168.9033971,160.938521,174.028795,71.54359282,169.8899094,downdog
177.4913697,168.3468221,72.66764695,170.9221872,167.6918247,157.3534849,74.33252697,168.8274235,downdog
166.8226739,177.3221637,74.82086795,169.8685319,178.229955,160.1828198,68.8393322,171.117931,downdog
170.9260501,167.1374946,64.88747226,177.3589728,168.7561012,169.7442318,66.70106493,179.6179194,downdog
166.806493,179.7993926,75.53009741,176.9038985,166.3593594,175.4084445,77.09524127,177.224506,downdog
166.8544933,140.284009,47.85212717,160.9854682,171.3384803,136.8142207,64.97258816,177.4919317,downdog
164.5641245,172.8059647,69.24290301,176.0864583,156.0179472,177.7674288,72.37252081,178.1548387,downdog
164.1365896,173.2495156,73.20711953,177.121532,161.2469876,169.2442866,74.77904615,177.1840538,downdog
171.6064715,171.676607,80.65602915,173.8834343,176.2367597,170.0324844,85.04917129,178.1900289,downdog
171.7135686,167.2603195,85.2280566,175.1153696,168.0231717,174.4323566,86.13068211,176.3645912,downdog
149.2838985,172.2529106,80.91606695,171.6698526,151.2935695,169.9032303,84.9090932,166.0683917,downdog
152.3847048,174.0738531,71.53446532,178.5799674,152.4334647,173.0256579,72.97194463,179.5348475,downdog
167.6026032,163.4628969,53.26787767,166.3133955,179.2531513,160.9932539,52.89308545,167.2538154,downdog
175.0789502,166.3795675,44.53036659,163.257586,172.2902985,147.2997321,40.92580201,166.0225788,downdog
163.1621122,179.2418548,81.77107534,178.1330446,166.4008901,171.7619553,85.36917727,179.5564642,downdog
175.2191137,169.8692196,74.70778039,172.969861,170.2766324,171.5390137,75.87681044,178.4625005,downdog
175.5568081,166.9573693,66.7985297,178.9569668,173.0327555,172.0793541,65.95706443,177.1161148,downdog
163.3361115,176.5208809,75.9526792,178.0054828,161.7053119,177.2518493,79.99294036,176.8238013,downdog
179.5090795,170.9151074,67.57432264,173.4575743,171.4942566,161.2942477,69.60864179,170.5791548,downdog
114.8979712,92.59787241,77.29617569,137.4986866,128.3841447,106.9761032,78.43943147,145.9453536,downdog
178.8573139,161.3504773,77.4462584,168.0378307,149.2275762,169.2371842,66.02241761,176.2503878,downdog
163.7097543,172.0574371,79.80673504,179.3322811,157.1578167,167.1065654,81.35815098,179.8616307,downdog
135.4884742,160.3921684,46.76506357,177.9195131,165.1931577,168.830344,39.48549557,176.4433623,downdog
149.3931285,179.1620255,76.92754652,179.2773143,143.3427022,178.1742121,75.73709308,178.4734465,downdog
165.1005746,168.1063777,71.91037873,171.0655445,172.9172576,179.1707065,68.62063116,173.3558937,downdog
170.9175803,136.3370325,72.94952991,179.0400951,171.0537386,140.3453968,73.47197745,177.6894557,downdog
178.3123385,178.5912287,71.5818607,174.08034,171.5219389,168.8458424,74.10215489,174.1111839,downdog
177.752667,176.5296487,79.95998815,165.3236937,160.5046268,165.0983747,80.51287259,171.0770895,downdog
165.8557614,178.6451354,61.96713491,153.682351,164.3444517,175.7839625,66.50819358,155.38028,downdog
158.4804671,144.3174382,80.88898384,175.1856004,157.400186,135.0036138,84.97897275,174.4636742,downdog
159.3446254,171.711775,91.79168153,177.982371,162.5268204,174.3150918,93.84356628,174.8904181,downdog
159.5650579,152.3587358,81.34564035,175.8418256,160.0609745,152.9524912,83.40097814,175.0273362,downdog
167.9567424,171.2345916,66.76197479,172.758981,162.3875676,171.2097599,66.44300498,172.2592001,downdog
170.170179,163.7341473,67.30789269,169.485477,153.0350513,155.285885,61.14332407,141.569028,downdog
165.0510654,139.3308346,68.13094103,169.5070975,158.7734687,128.9992645,65.75235374,168.7892649,downdog
143.7250583,152.0247407,66.80782019,174.1352555,150.0223089,158.6269372,66.27389939,175.3799926,downdog
160.4768115,157.3957791,83.55583631,177.3082334,157.7632345,159.4738475,84.25026161,178.0588624,downdog
118.1995745,170.8205232,14.75904846,170.6176439,137.8689172,9.281495783,163.7920432,173.0678231,downdog
173.8355293,173.5240639,82.7401867,165.8418567,177.6907574,165.3149339,81.26323923,164.0837914,downdog
160.2462391,155.2913357,93.1283821,178.8918638,157.657019,165.6049658,88.37984074,177.6488684,downdog
169.7966035,154.8104447,76.60815705,151.2244664,160.017708,145.5191394,77.35446402,148.4183769,downdog
165.153207,170.0417184,83.53673951,179.5481556,161.3414875,167.5810985,82.81863584,178.970473,downdog
173.3294287,172.4400738,79.20731879,173.2656338,173.3044832,171.718094,81.683898,167.4451645,downdog
174.228865,166.8671235,76.3479044,171.135404,166.711602,177.012144,77.35857879,173.7594988,downdog
160.7937945,155.7986999,83.38643404,176.7908587,161.6151341,153.9956804,84.21927314,172.0374316,downdog
141.5402401,167.6577368,87.76089763,179.1758936,143.675709,175.4309817,80.90867666,176.0782072,downdog
162.0927316,170.6057827,78.84570278,173.009764,165.3705163,170.6769964,80.21626992,172.9937316,downdog
164.314147,173.4251287,67.80292412,173.0499774,156.5049595,177.496146,71.96406276,176.6879269,downdog
164.6545696,157.1556897,123.7825827,146.1329628,155.3566317,149.7343378,122.3612254,145.085201,downdog
157.9701718,157.6290564,78.7712831,171.1815296,131.9411057,154.3876617,75.52722628,177.8613071,downdog
175.5980492,179.1815891,72.66561008,177.8593281,166.9269718,169.8622271,71.51872885,177.0686672,downdog
150.4690019,174.3703445,79.2242443,178.9504428,155.2559253,172.9429977,82.1164447,177.5785107,downdog
158.8929917,161.4784673,79.59787058,178.0299987,161.310877,161.0569304,80.1935052,175.3758787,downdog
164.699557,170.05246,81.6834322,176.7321776,160.3098171,167.4816574,78.91769686,178.8612446,downdog
176.0848483,179.8779097,84.60324323,176.2934093,176.0946455,176.2588528,82.72164367,175.8515937,downdog
177.5780076,166.7334676,77.44347372,163.9210238,171.293972,162.9458167,74.36312873,160.9346885,downdog
167.9363563,155.3580632,70.01316507,165.6232814,172.7813817,157.7415163,69.27024787,168.7020233,downdog
138.8598546,167.1997415,86.9546156,179.7926996,143.2316789,173.480906,79.60461341,175.6146254,downdog
167.4555077,170.9523613,73.90829398,178.5012359,159.9668875,178.8572174,75.4356224,177.0723207,downdog
148.9884717,156.1095499,67.10289674,162.638731,160.9743705,132.8052653,77.93205599,125.5606026,downdog
176.2335036,172.4324853,56.61466288,179.5205352,168.8899195,177.6963858,59.67746995,179.8512654,downdog
163.387317,163.6658281,72.47071702,173.3521629,160.9072163,161.9539552,73.71132309,176.7452287,downdog
153.6164173,170.840561,68.02623894,160.235421,137.2118876,178.7189258,57.56122788,161.2804836,downdog
169.7114824,171.212596,54.17892003,125.4407729,169.3341338,167.5765073,58.22444828,130.9688711,downdog
161.6304161,179.5963753,71.17257031,175.6742901,162.8554111,179.5736397,73.72634383,179.0048936,downdog
171.5545811,176.7251525,78.38211677,175.3055304,175.1688615,173.3476069,80.06622628,177.5272436,downdog
118.1995745,170.8205232,14.75904846,170.6176439,137.8689172,9.281495783,163.7920432,173.0678231,downdog
154.6257547,178.6769344,53.89657573,176.8353964,152.0130275,165.6932531,64.5596996,176.6256223,downdog
