left_elbow,left_armpit,left_waist,left_knee,right_elbow,right_armpit,right_waist,right_knee,pose
100.5788739,87.0781795,111.5725979,121.4568503,86.69018717,96.02353664,108.7357103,120.812003,goddess
29.82029255,36.52729494,82.20744016,69.56621153,44.35591457,50.17190738,74.18939737,59.99154091,goddess
79.52335717,62.8995439,111.3927327,115.7276449,89.1177811,53.38563407,116.618803,125.7138994,goddess
68.61592277,77.06495682,92.00974879,73.82150519,16.315676,77.61406813,89.87582615,79.86213161,goddess
100.3489237,79.30468167,112.8767165,110.8735017,96.22041327,76.59216542,106.0119841,103.9259278,goddess
66.47925815,70.68249784,124.9563317,120.1784544,62.92209127,63.35937495,125.8712855,126.0926974,goddess
100.5788739,87.0781795,111.5725979,121.4568503,86.69018717,96.02353664,108.7357103,120.812003,goddess
46.43054336,20.33449864,148.3105689,157.4863169,62.60208392,18.35679903,162.1139456,160.0664275,goddess
97.20151179,66.2422545,88.45465751,75.0279831,16.62302337,70.52699374,82.76931162,81.06351237,goddess
123.0847456,109.549159,94.4541258,92.72069536,114.1126982,96.49302278,104.2289894,99.54870558,goddess
88.91087873,76.38198085,104.1088053,114.0478981,82.50966403,77.84332951,95.724359,98.68796375,goddess
100.9330893,100.7303447,90.03201583,95.21722261,85.12286134,89.91703016,91.98146868,103.7081,goddess
91.96111944,88.0931046,117.9589602,115.3253271,94.36582833,92.76225796,104.0361743,124.8581036,goddess
84.45779663,81.79342873,118.0880199,101.8288793,92.89764904,86.650776,116.0089572,104.2405712,goddess
115.3759415,90.15220238,110.0550686,117.4702206,113.5198999,88.31721177,100.4100407,112.7231169,goddess
127.8022329,90.10442773,130.8338886,151.4549333,128.5776455,88.30429958,145.9581025,168.087764,goddess
106.7045865,76.60057509,106.358015,106.8556319,94.7231392,64.36009933,125.653153,133.4490892,goddess
95.7983306,100.883177,102.9639556,102.8765877,105.9733105,105.6826864,122.2293023,131.8252532,goddess
122.4958236,76.1341968,133.0562542,134.6296211,11.99709862,74.43551253,129.4665935,130.3408822,goddess
92.39615223,83.57448973,128.3553571,125.2493605,97.30307461,87.35425501,127.2301283,136.4612829,goddess
130.0503868,88.80352114,154.7144149,173.1184488,138.5093421,88.47778148,146.7397623,169.89009,goddess
90.32792365,91.80449821,108.1060673,104.3461407,89.38165705,86.7239205,111.9018686,100.6443079,goddess
11.38734219,76.83492074,170.4091002,156.4991129,57.86182122,45.262258,118.1653053,92.59147589,goddess
87.08524717,94.50078378,126.3857206,141.7619781,90.39475518,95.59390886,112.4599168,108.2686166,goddess
111.2314908,96.20504187,127.5927373,125.7106021,98.15924965,96.28736581,133.8558273,137.4371857,goddess
