left_elbow,left_armpit,left_waist,left_knee,right_elbow,right_armpit,right_waist,right_knee,pose
174.0387029,88.17878114,124.5349276,171.2108323,173.9217471,90.47098645,104.4005931,25.71543629,warrior2
166.7319764,97.782424,86.18559372,103.1887477,161.6014692,86.89671141,101.5721634,160.06933,warrior2
178.2334893,92.80129843,128.1523795,175.0031113,174.0955665,99.23741774,104.8064748,111.7474083,warrior2
167.4101521,115.2773078,99.33719875,106.8128928,162.4172444,64.12203744,146.8711763,170.6953098,warrior2
176.6513444,92.03942845,126.5173844,178.3631915,167.5750101,96.21197417,93.61461202,106.0614688,warrior2
158.3841199,95.28590998,126.2477759,171.2284671,129.4798577,86.60999984,82.00917561,81.22245816,warrior2
172.6846861,97.85328346,90.25514369,105.2065283,172.4434034,91.94582135,129.2668228,172.4624957,warrior2
179.6410037,100.983014,104.579694,109.806806,174.6191014,86.43386006,131.4171191,173.9364238,warrior2
175.4929442,95.87026756,110.333258,125.6205224,177.3758125,86.80393558,137.1077638,164.7046884,warrior2
174.7117468,96.84019784,127.4930954,171.0003627,179.0744884,105.0402048,93.46560606,100.8976533,warrior2
178.2254825,101.5498037,103.0882951,127.5456236,176.4601896,88.65167191,127.1440652,175.770781,warrior2
156.9907235,82.29851311,66.55284655,68.25080753,167.5416267,84.11486063,115.2524159,165.1797212,warrior2
164.5647266,99.30134832,95.68407439,124.0330638,179.2133322,80.86280189,128.8315393,179.1617098,warrior2
174.9227547,95.93122712,131.074989,163.3575562,173.2399901,101.0893839,89.83536967,94.87401383,warrior2
170.1065515,72.98217728,138.2853066,174.8746625,176.0336275,105.2691384,96.98663609,114.6977191,warrior2
171.1073815,84.04638812,123.9878281,172.6400663,176.5596342,91.42290863,91.36638163,97.40808097,warrior2
173.8993839,106.7042252,101.8105377,122.514652,174.0382752,91.49602781,149.2989261,173.9926021,warrior2
173.9453211,84.62198749,149.277234,163.2779496,153.0301103,90.3282617,116.4395215,132.0987197,warrior2
164.1929701,84.66143893,130.230419,173.0393831,173.1374,98.70134657,83.47493929,91.52596732,warrior2
175.389618,95.38357414,121.5242033,54.51098842,175.8631199,103.9596702,88.51526873,97.96327135,warrior2
170.104727,81.01081761,144.3676326,176.620212,170.5213048,93.91667119,104.6669821,106.2442574,warrior2
13.3133866,78.91383197,152.8898459,149.7141979,159.8988896,79.29454134,164.944298,95.74735128,warrior2
177.8735268,82.79944757,146.3359428,179.9207546,152.4242648,88.01970381,129.3183791,130.0653081,warrior2
111.6226922,73.11453624,142.830416,172.1846728,7.729796169,61.79953877,175.6578565,126.9170474,warrior2
158.9042445,83.34379761,130.2789857,171.451688,140.2543754,87.91940322,116.2472141,130.6723823,warrior2
175.6180843,91.66354203,126.8226931,177.8077277,175.4031415,91.32690371,101.7402615,106.4451778,warrior2
