left_elbow,left_armpit,left_waist,left_knee,right_elbow,right_armpit,right_waist,right_knee,pose
157.1090938,168.7628732,116.9860836,16.82147874,169.6091735,167.9563575,173.052081,178.776615,tree
160.5972851,157.6625779,167.6112835,40.51955795,153.7055605,177.1070598,113.6836024,83.27294206,tree
177.8274691,173.0778742,179.5851716,178.689584,164.4717199,178.5563277,174.7715888,77.21677571,tree
163.2946961,168.8656493,177.6317513,174.4221242,148.6251057,170.8965506,125.3539037,26.80596888,tree
155.9593275,176.1486722,175.1402067,172.3087255,150.4986258,166.1917621,121.8498244,56.17305812,tree
168.9829872,139.7975209,172.003017,173.2055824,163.3307741,123.8633027,110.6312588,42.60878748,tree
171.812075,138.2211315,124.3108522,27.35338775,165.8492434,148.963904,173.4722291,170.7986674,tree
158.2604409,176.8864015,130.7753034,31.85046673,163.1336357,169.0020579,176.7923376,174.5185078,tree
157.1090938,168.7628732,116.9860836,16.82147874,169.6091735,167.9563575,173.052081,178.776615,tree
169.1881327,174.5708411,177.2674221,176.4233298,179.4300406,169.5195922,131.6768948,37.63511842,tree
132.8491929,170.876509,138.3660466,117.7627552,135.1564505,176.7521925,178.0441401,168.1542188,tree
104.7125418,153.4933869,119.4892066,39.3147599,110.787752,162.3765835,177.5232868,177.2356289,tree
170.668739,175.7822831,132.5250778,33.82179622,159.7560847,179.7299389,177.5692955,179.2396429,tree
165.0665756,121.618855,123.4147498,26.24936453,170.617781,130.0040103,178.9347079,173.9111776,tree
165.9398997,179.3341801,112.8963111,27.37607337,164.3883855,171.1937628,175.0473323,170.0314241,tree
164.9694758,157.2814594,119.9730001,21.36738856,167.5269533,175.4636318,179.1021782,173.5972487,tree
151.1500501,173.9487636,122.6833409,72.69374087,179.3493875,163.0948571,169.5926211,175.3442237,tree
85.78373005,160.9129299,177.312647,178.1306706,89.62186507,144.9770232,129.0008299,61.24501197,tree
87.05394986,156.9561213,173.0962479,175.1290779,85.94591815,163.7045471,129.1980539,69.91298132,tree
111.9025178,150.7203415,126.6143781,72.0270562,135.5350153,163.1977857,178.8415815,171.0529801,tree
157.1461262,174.2285794,175.8489941,172.7254611,158.1500979,171.1554011,119.7229299,56.30747375,tree
176.670064,3.045334653,179.2296105,172.0876662,174.6834556,5.698086441,158.6864385,160.5649457,tree
170.668739,175.7822831,132.5250778,33.82179622,159.7560847,179.7299389,177.5692955,179.2396429,tree
167.3175283,123.9348729,122.749486,28.71359076,169.9291176,130.0668683,179.9779968,174.0215441,tree
175.6204977,176.427489,128.8102451,30.83335248,178.2413406,170.9358456,179.7677348,174.8539701,tree
179.0874565,166.8421966,179.0796461,176.260402,172.2252844,177.7864305,129.6213644,28.20470272,tree
177.2221672,166.293321,169.826353,173.2902856,172.9755319,174.9479959,114.9107681,38.20473268,tree
165.9398997,179.3341801,112.8963111,27.37607337,164.3883855,171.1937628,175.0473323,170.0314241,tree
162.3729933,155.2522709,120.4459957,22.21555204,160.4647525,171.153735,177.3832271,175.4846688,tree
151.1500501,173.9487636,122.6833409,72.69374087,179.3493875,163.0948571,169.5926211,175.3442237,tree
85.78373005,160.9129299,177.312647,178.1306706,89.62186507,144.9770232,129.0008299,61.24501197,tree
132.8559549,165.9649393,178.9794576,174.196679,128.6192765,159.2520076,133.0970069,29.42608726,tree
154.9456483,168.6475573,174.6423915,175.6615195,160.2828708,178.5324518,118.3065115,83.23892042,tree
172.7486106,169.0519866,177.7836781,177.8260152,160.5838907,178.5382602,130.2216828,16.28312154,tree
146.9735588,175.0612187,171.5352506,176.0360243,136.8675222,153.3888515,170.559516,178.1379686,tree
174.7044506,175.4207407,126.8458253,30.52869621,170.0991211,165.9696122,178.8908069,176.2175972,tree
168.9829872,139.7975209,172.003017,173.2055824,163.3307741,123.8633027,110.6312588,42.60878748,tree
170.1735004,161.817295,128.4967179,111.8331692,165.6968244,166.7223066,167.8237615,171.0819939,tree
173.5326743,168.2963307,173.3219101,171.294939,175.3578257,169.8293431,175.8057766,179.9085134,tree
168.9829872,139.7975209,172.003017,173.2055824,163.3307741,123.8633027,110.6312588,42.60878748,tree
175.6693784,177.7426578,128.5823272,30.87507422,173.9131979,167.9895546,178.3683332,177.8754215,tree
138.6364023,178.3021224,179.0798299,177.7820496,139.7827574,165.2856972,134.1493368,30.97655163,tree
139.4067516,112.697005,179.6878517,179.8471467,157.6240068,131.1181896,151.192952,167.3778022,tree
146.9735588,175.0612187,171.5352506,176.0360243,136.8675222,153.3888515,170.559516,178.1379686,tree
158.5888016,178.4187402,162.0412643,169.8603773,169.7551993,159.4607712,122.648687,47.23484869,tree
179.7291893,164.3141697,170.8039443,22.05465451,175.2342095,176.3964303,114.5036032,41.97103445,tree
123.0359704,165.0270465,130.5643582,95.94890105,127.2782743,172.7995354,177.02073,175.4228189,tree
167.5569321,169.1247758,176.976594,176.4482381,153.305371,171.4718119,129.7435409,28.11192888,tree
171.4224277,163.6835999,177.2820265,176.9458705,174.6692427,174.5407997,127.5894966,25.29689444,tree
155.4455759,88.34772209,179.7733683,178.047941,6.571394296,95.05456628,118.9097,9.39619315,tree
166.9678591,169.1504175,165.5978062,174.1754633,164.2472138,179.4374502,113.2558669,77.20714993,tree
162.4769924,155.3635241,106.8681463,85.15826168,175.7177914,152.6268693,177.2255615,178.254321,tree
